Subject,Bad channels,Total bad channels,Bad ICA components,Total bad ICA components,Total bad epochs
21100,"['POZ', 'FC5', 'PZ', 'PO3']",4,"[np.int64(0), np.int64(23), np.int64(1), 2, 4, 11, 12, 15, 18, 19, 20, 28]",12,4
21101,"['AF7', 'FP2', 'PO7', 'AF8', 'PO4', 'FP1']",6,"[np.int64(2), np.int64(14), 0, 3, 4, 6, 7, 11, 12, 19, 23]",11,3
21102,"['P1', 'PO3']",2,"[np.int64(0), np.int64(29), 18, 21, 28, 38, 42, 50, 53]",9,0
21103,"['P1', 'P2', 'P4', 'P10']",4,"[np.int64(0), np.int64(2), 9, 26, 39, 40]",6,70
21104,"['P8', 'IZ', 'FPZ', 'FP2', 'P2', 'T8']",6,"[np.int64(1), np.int64(2), 34, 43]",4,48
21105,"['P1', 'IZ', 'P3', 'O1', 'P2', 'PO3', 'PO7', 'P9', 'POZ', 'P7']",10,"[np.int64(0), np.int64(3), 4, 9, 12, 23, 25, 27, 28]",9,4
21106,"['PZ', 'P1', 'T7']",3,"[np.int64(1), np.int64(0), np.int64(9), 4, 11, 15, 16, 30, 43]",9,46
21107,"['P1', 'T7', 'IZ', 'PO7', 'PZ']",5,"[np.int64(0), np.int64(1), np.int64(4), 3, 6, 10, 11, 13, 15, 17, 20, 21, 33, 34]",14,9
21108,"['P1', 'O2']",2,"[np.int64(1), np.int64(7), 5, 9, 10, 15, 18, 23, 24, 36]",10,3
21109,"['PO4', 'P2']",2,"[np.int64(0), np.int64(6), np.int64(4), 1, 5, 7, 14]",7,3
21110,"['P9', 'P10']",2,"[np.int64(1), np.int64(8), np.int64(28), 0, 2, 3, 4, 5, 9, 11, 14, 16, 21, 22, 23, 30]",16,0
21111,"['PO8', 'CP4', 'PO3', 'CPZ', 'CP6', 'POZ', 'TP7']",7,"[np.int64(0), np.int64(22), 8, 11]",4,1
21112,"['T8', 'P9', 'IZ']",3,"[np.int64(0), np.int64(5)]",2,1
21113,"['P5', 'P7', 'F7', 'PO3', 'CP5', 'P10', 'TP8', 'T8']",8,"[np.int64(7), np.int64(28), np.int64(2), 5, 26, 34]",6,29
21114,"['POZ', 'P1', 'CP5']",3,"[np.int64(0), np.int64(13), np.int64(2), 3, 6, 9, 10, 11, 20, 21, 23, 24, 34]",13,9
21115,"['P8', 'P5', 'IZ', 'P2', 'POZ', 'PO3', 'P9', 'CP5', 'P10', 'TP8', 'PO4']",11,"[np.int64(1), 2, 3, 11, 19, 22, 26, 36]",8,2
21116,"['POZ', 'P1', 'PO4']",3,"[np.int64(0), np.int64(1), np.int64(2), 27, 28]",5,26
21118,"['P1', 'OZ', 'FT7', 'F7', 'PO3', 'FC5', 'CP6', 'T8', 'PZ', 'C2']",10,"[np.int64(0), np.int64(6), np.int64(46), 11]",4,0
21121,"['PO3', 'P9', 'P10', 'POZ', 'PZ']",5,"[np.int64(0), np.int64(42), 7, 8, 12, 20, 22, 26]",8,39
21122,"['TP8', 'TP7', 'T8', 'FC2']",4,"[np.int64(2), np.int64(1), 4, 6, 7, 9, 12, 13, 14, 15, 22, 28, 29, 38]",14,5
21123,"['C5', 'PO8', 'P3', 'PO3', 'PO7', 'CP5', 'POZ', 'CP3']",8,"[np.int64(0), np.int64(36), 2, 3, 4, 7, 8, 12, 13, 14, 15, 20, 22, 29]",14,6
21125,"['PZ', 'P1', 'P5', 'P3', 'CP4', 'P7', 'PO3', 'TP7', 'CP3', 'T7']",10,"[np.int64(0), np.int64(12), np.int64(6), 7, 15, 17, 20]",7,5
21127,"['P1', 'P3', 'CP2', 'P2', 'T7']",5,"[np.int64(0), np.int64(11), 4, 8, 15, 16, 17, 18, 19, 21, 24, 34]",12,30
21129,[],0,"[np.int64(0), np.int64(7), 2, 3, 4, 5, 6, 9, 10, 14, 17, 18, 24, 26, 28, 29, 39]",17,77
21131,"['P1', 'P4', 'CP1', 'P6', 'P2', 'O2', 'T8', 'C1']",8,"[np.int64(0), np.int64(3), 5, 6, 11, 13, 14, 16, 17, 22, 23]",11,6
21132,"['P8', 'P1', 'IZ', 'P3', 'O1', 'CP1', 'P9', 'O2', 'P10', 'P7', 'T7']",11,"[np.int64(3), np.int64(7), 17, 25, 28, 34]",6,30
21134,['P1'],1,"[np.int64(0), np.int64(36), 3, 4, 5, 6, 7, 15, 16, 18, 21, 26, 41]",13,5
21135,"['P1', 'OZ', 'IZ', 'O1', 'P2', 'PO3', 'POZ']",7,"[np.int64(5), np.int64(0), 15, 16, 22, 30, 32, 44]",8,58
21137,"['P1', 'OZ', 'PO8', 'IZ', 'CP1', 'O1', 'P3', 'P2', 'PO3', 'PO7', 'CP6', 'PZ']",12,"[np.int64(0), np.int64(5), 1, 4, 5, 7, 10]",7,0
21139,['IZ'],1,"[np.int64(0), 7, 9, 14, 19, 22, 23, 31, 32, 43, 45]",11,65
21140,['T8'],1,"[np.int64(0), np.int64(3)]",2,3
21143,"['OZ', 'P5', 'POZ', 'PO3', 'F5']",5,"[np.int64(2), np.int64(29), np.int64(0), 10, 14, 17, 26]",7,13
21144,"['P1', 'FT7', 'PO3', 'CP6', 'PZ']",5,"[np.int64(0), np.int64(1), np.int64(3), np.int64(4), np.int64(2), 9, 15, 17, 22, 25, 28, 29, 37, 46, 49]",15,3
21147,"['P1', 'IZ', 'P3', 'PO3', 'TP8', 'TP7', 'T7']",7,"[np.int64(1), np.int64(2), np.int64(0), 6, 9, 12, 15, 16, 19, 22, 26, 27]",12,4
21152,"['POZ', 'P2', 'PO3', 'P10']",4,"[np.int64(0), np.int64(23), np.int64(4), 1, 3, 5, 6, 8, 10, 12, 14, 20, 27, 30]",14,0
22100,"['P1', 'P4', 'F8', 'P2', 'PO3', 'PO4']",6,"[np.int64(0), np.int64(27), 6, 9, 12, 15, 37]",7,39
22101,['PO3'],1,"[np.int64(1), 6, 9, 10, 17, 21, 22, 25, 26, 32, 34, 50]",12,31
22102,"['PO8', 'O2', 'PO3', 'IZ']",4,"[np.int64(0), np.int64(1), 23, 39]",4,6
22103,"['T7', 'C2']",2,"[np.int64(0), np.int64(1), np.int64(44), 4, 8, 11, 15, 16, 18, 20, 22, 23, 25, 37]",14,2
22104,"['PO4', 'PZ', 'T7']",3,"[np.int64(0), 2, 3, 5, 6, 8, 11, 13, 15, 22, 26, 44]",12,2
22106,['AF3'],1,"[np.int64(0), np.int64(2), 15, 26, 28, 29]",6,1
22107,"['P3', 'T7']",2,"[np.int64(0), np.int64(4), np.int64(6), 20, 21, 29]",6,0
22108,[],0,"[np.int64(0), np.int64(34), 8, 11, 17, 18, 21, 22, 24, 27, 29, 30]",12,0
22110,"['P1', 'IZ', 'POZ', 'PZ', 'C2']",5,"[np.int64(2), np.int64(3), np.int64(6), 0, 5, 6, 7, 15, 16, 19, 22, 24]",12,0
22111,['P10'],1,"[np.int64(0), np.int64(6), 1, 3, 4, 9, 10, 13, 19, 25, 26]",11,3
22112,"['P3', 'T8', 'FC5', 'T7']",4,"[np.int64(0), np.int64(4), 1, 5, 9, 12, 19, 30]",8,10
22113,['CPZ'],1,"[np.int64(0), np.int64(6), np.int64(13), 1, 2, 10, 11, 15, 17, 18, 20, 26, 29, 35, 40]",15,4
22114,"['T8', 'OZ', 'P5', 'P2', 'PO7', 'PO4', 'P7', 'T7']",8,"[np.int64(0), np.int64(2), 14, 15, 16, 18, 20, 22, 25]",9,0
22115,"['TP8', 'POZ', 'PZ']",3,"[np.int64(0), np.int64(1), 7, 12, 16, 18, 24, 38]",8,3
22116,['P7'],1,"[np.int64(8), np.int64(9), 33]",3,67
22117,"['P1', 'FT7', 'C3', 'P3', 'POZ', 'TP8']",6,"[np.int64(0), np.int64(3), 11]",3,2
23001,"['POZ', 'FT7', 'PO3']",3,"[np.int64(0), np.int64(10), np.int64(2), 6, 16, 23, 29, 40]",8,12
23002,"['P1', 'AF7', 'PO3', 'P9', 'POZ', 'T8']",6,"[np.int64(3), np.int64(1), np.int64(0), np.int64(8), 0, 2, 4, 5, 6, 8, 10, 11, 14, 15, 16, 17, 19, 20, 21, 22, 24, 25, 26, 32, 33, 37]",26,0
23003,"['T8', 'P10']",2,"[np.int64(2), np.int64(19), 3, 4, 5, 6, 7, 10, 12, 13, 16, 21, 23, 24, 25, 27, 30, 31]",18,0
23004,"['P1', 'P3', 'CP2', 'P2', 'O2', 'PO4', 'PZ']",7,"[np.int64(0), 1, 2, 4, 8, 9, 13]",7,2
23005,['P1'],1,"[np.int64(0), np.int64(33), 17, 19]",4,5
23006,"['P2', 'PO3', 'FT8', 'TP7', 'T7']",5,"[np.int64(0), np.int64(21), 2, 3, 9, 10]",6,1
23007,"['O1', 'P2', 'PO3', 'PO7', 'P9', 'POZ', 'P7']",7,"[np.int64(0), 2, 4, 6, 7, 12, 15, 16, 17, 18]",10,0
23008,"['P1', 'IZ', 'P3', 'P2', 'PO3', 'P10', 'CP6']",7,"[np.int64(1), np.int64(3), 0, 2, 4, 8, 18, 26]",8,1
23009,"['P2', 'PO3', 'PO7', 'P9', 'POZ', 'TP7', 'P7']",7,"[np.int64(2), 0, 1, 5, 8, 11, 15, 24, 25, 27, 30]",11,20
23010,"['P4', 'P2', 'PO3']",3,"[np.int64(0), np.int64(5), 5, 12, 16, 17, 19, 23, 27]",9,16
23011,['P1'],1,"[np.int64(0), np.int64(4), 6, 7, 8, 12, 14, 16, 19, 21, 27, 28, 40]",13,28
23012,"['C3', 'P6', 'P2', 'PO3', 'PO7', 'TP7']",6,"[np.int64(0), 29, 35, 37]",4,104
23013,"['P1', 'PO3', 'CZ', 'POZ', 'PZ']",5,"[np.int64(0), 2, 5, 10, 12, 20, 21]",7,16
23015,['PO3'],1,"[np.int64(0), np.int64(34), np.int64(28), 2, 3, 5, 6, 8, 11, 13, 14, 16, 20, 30]",14,4
23016,"['P3', 'P1', 'O1', 'PO3']",4,"[np.int64(0), np.int64(9), np.int64(31), 1, 3, 5, 11, 12, 14, 15, 16, 19, 21, 23, 34, 37, 39]",17,1
23017,"['P2', 'PZ']",2,"[np.int64(0), np.int64(19), 4, 5, 6, 9, 19, 20]",8,3
23018,"['P3', 'P1', 'T8']",3,"[np.int64(0), 2, 3, 5, 7, 8, 14, 18, 22, 23, 26, 33, 36]",13,27
23019,"['P1', 'P5', 'AF7', 'CP2', 'O1', 'P2', 'PO3', 'PO7', 'AF8', 'F3', 'T7']",11,"[np.int64(1), np.int64(16), 9, 18]",4,6
23020,['FT8'],1,"[np.int64(0), np.int64(7), np.int64(2), 9, 14, 21]",6,11
23021,"['O2', 'PO3', 'IZ']",3,"[np.int64(3), np.int64(0), 4, 11, 15]",5,0
23022,[],0,"[np.int64(0), 1, 3, 9, 10, 13, 21, 24]",8,0
23023,"['IZ', 'CP4', 'P2', 'PO3', 'T7']",5,"[np.int64(0), 1, 5, 6, 11, 12, 17, 20, 21, 28]",10,0
23025,"['PZ', 'P1', 'OZ', 'FT7', 'TP7', 'T7']",6,"[np.int64(3), np.int64(37), 0, 1, 5, 7, 8, 11, 13, 16, 18, 19, 20]",13,9
24002,"['FC4', 'IZ', 'FC2', 'FC6', 'POZ', 'PZ']",6,"[np.int64(0), 2, 6, 7, 11, 12, 16]",7,2
24003,"['C6', 'AFZ', 'P1', 'F8', 'FC4', 'P4', 'PO3', 'FC2', 'F2', 'PZ', 'C2']",11,"[np.int64(0), np.int64(13), 1, 3, 5, 6, 8, 9, 11, 12, 13, 19, 23, 24, 27]",15,6
24004,"['POZ', 'T7', 'P10']",3,"[np.int64(0), np.int64(1), 2, 7, 11, 12, 14, 22, 23, 30, 32, 35]",12,3
24005,"['P1', 'PO8', 'P2', 'CZ', 'CP6']",5,"[np.int64(0), np.int64(16), 21, 27]",4,0
24013,"['C6', 'F8', 'FZ', 'T7', 'P6', 'CP2', 'CP4', 'P10', 'TP8', 'P9', 'FT8', 'POZ', 'T8', 'PZ']",14,"[np.int64(0), np.int64(2)]",2,6
24014,"['P8', 'P5', 'AF7', 'P4', 'P3', 'AF8', 'P10', 'PO4', 'T8']",9,"[np.int64(1), 4, 17, 26]",4,14
24015,['TP8'],1,"[np.int64(0), np.int64(1), 3, 9, 12, 16, 17, 18, 20, 22, 28, 30, 36, 44]",14,2
24017,"['P1', 'IZ', 'P3', 'O1', 'PO3', 'PO7', 'TP8', 'PO4', 'P7', 'T7']",10,"[np.int64(0), np.int64(9), np.int64(7), 2, 3, 8, 14, 16, 20, 21, 22, 23, 24, 25]",14,0
24025,"['P3', 'P4', 'C1']",3,"[np.int64(1), 9, 20, 26]",4,16
24026,"['P3', 'O1', 'O2', 'FT8', 'POZ', 'PO4']",6,"[np.int64(2), np.int64(41), 0, 3, 7, 11, 12, 35]",8,16
24027,"['F8', 'AF7', 'AF8', 'PO3']",4,"[np.int64(6), np.int64(1), 0, 2, 3, 4, 5, 7, 8, 13, 15, 16, 17, 19, 22, 25, 26, 30]",18,3
24035,"['FCZ', 'FPZ', 'P6', 'FP2', 'F1', 'PO7', 'P9', 'AF8', 'CP6', 'FP1']",10,"[np.int64(0), np.int64(1), np.int64(9), 5, 7, 15, 18, 26, 28]",9,7
24039,"['OZ', 'P1', 'P4', 'P9', 'O2', 'TP7', 'PZ']",7,"[np.int64(2), np.int64(0), np.int64(3), 2, 7, 10, 14, 15, 17, 18, 23, 27, 30]",13,12
24043,"['P1', 'IZ', 'P3', 'P7', 'T8']",5,"[np.int64(0), np.int64(2), np.int64(1), np.int64(8), 15, 16, 19, 22]",8,3
24045,"['CPZ', 'C4']",2,"[np.int64(1), np.int64(39), 0, 4, 5, 10, 11, 12, 13, 14, 15, 18, 20, 37, 42, 45]",16,6
24052,"['P8', 'P1', 'PO8', 'P2', 'PO3', 'PO7', 'FC2', 'O2', 'CP6', 'POZ', 'PO4', 'PZ']",12,"[np.int64(0), np.int64(9), 1, 5, 11, 12, 13, 16, 18, 20, 24, 27, 35]",13,35
24053,"['IZ', 'PO3', 'P9', 'PO4', 'T8']",5,"[np.int64(0), 1, 6, 13, 14, 16, 17, 18, 22, 24, 40]",11,7
24057,"['PZ', 'TP7', 'PO3', 'P1']",4,"[np.int64(0), np.int64(24), np.int64(1), 1, 4, 6, 7, 11, 17, 19, 20, 21, 22, 24, 26, 27, 31, 32, 33, 36]",20,10
24059,"['AF7', 'FT7', 'F7', 'PO3', 'AF8', 'F5', 'P7', 'FP1']",8,"[np.int64(0), 5, 8, 13, 18, 20, 24]",7,1
24065,"['P1', 'IZ', 'O1', 'P2', 'PO3', 'P9', 'POZ']",7,"[np.int64(0), np.int64(11), np.int64(5), 7, 12, 18, 22, 27, 29, 35]",10,25
24069,"['P2', 'PO3']",2,"[np.int64(0), 1, 6, 10, 12, 13, 18, 19, 21, 22, 23, 26, 33]",13,14
24073,"['AF4', 'F6', 'F4', 'FP2', 'AF8', 'FC6', 'T8', 'T7']",8,"[np.int64(0), 1, 2, 5, 6, 7, 8, 9, 11, 12, 14, 15, 18, 22, 25, 27, 28, 35]",18,9
24101,"['POZ', 'P1', 'P2', 'PO3']",4,"[np.int64(0), np.int64(18), 1, 2, 3, 4, 6, 11, 16, 22]",10,18
